Title, Career, Grading, Class Number, Type, Credits, GE, Status, Available Seats, Enrollment Cap, Enrolled, WaitCap, WaitList
['\n        BIOC 100B - 01\xa0\xa0 Biochemistry and Molecular Biology    ', 'Undergraduate', 'Student Option', '40937', 'Lecture', '5 units', '\xa0', ' Open', '13', '182', '169', '0', '0']
['\n        BIOE 20B - 01\xa0\xa0 Development and Physiology    ', 'Undergraduate', 'Student Option', '40953', 'Lecture', '5 units', '\xa0', ' Open', '41', '300', '259', '0', '0']
['\n        BIOE 20C - 01\xa0\xa0 Ecology and Evolution    ', 'Undergraduate', 'Student Option', '40963', 'Lecture', '5 units', '\xa0', ' Closed', '0', '268', '268', '0', '0']
['\n        BIOE 82 - 01\xa0\xa0 Introduction to Field Research and Conservation    ', 'Undergraduate', 'Student Option', '43176', 'Field Studies', '2 units', '\xa0', ' Open', '2', '24', '22', '0', '0']
['\n        BIOE 82 - 02\xa0\xa0 Introduction to Field Research and Conservation    ', 'Undergraduate', 'Student Option', '43177', 'Field Studies', '2 units', '\xa0', ' Open', '1', '24', '23', '0', '0']
['\n        BIOE 95 - 01\xa0\xa0 Seymour Center Docent Training    ', 'Undergraduate', 'Student Option', '43047', 'Seminar', '2 units', 'PR-S', ' Open', '12', '15', '3', '0', '0']
['\n        BIOE 95 - 01\xa0\xa0 Seymour Center Docent Training    ', 'Undergraduate', 'Student Option', '43047', 'Seminar', '2 units', 'PR-S', ' Open', '12', '15', '3', '0', '0']
['\n        BIOE 107 - 01\xa0\xa0 Ecology    ', 'Undergraduate', 'Student Option', '41042', 'Lecture', '5 units', '\xa0', ' Closed', '0', '120', '121', '0', '0']
['\n        BIOE 108 - 01\xa0\xa0 Marine Ecology    ', 'Undergraduate', 'Student Option', '41048', 'Lecture', '5 units', '\xa0', ' Closed', '0', '80', '82', '0', '0']
['\n        BIOE 109 - 01\xa0\xa0 Evolution    ', 'Undergraduate', 'Student Option', '41056', 'Lecture', '5 units', '\xa0', ' Closed', '0', '120', '142', '0', '0']
['\n        BIOE 117 - 01\xa0\xa0 Systematic Botany of Flowering Plants    ', 'Undergraduate', 'Student Option', '41053', 'Lecture', '5 units', '\xa0', ' Closed', '0', '44', '44', '0', '0']
['\n        BIOE 117L - 01\xa0\xa0 Systematic Botany of Flowering Plants Laboratory    ', 'Undergraduate', 'Student Option', '41054', 'Laboratory', '2 units', '\xa0', ' Closed', '0', '22', '23', '0', '0']
['\n        BIOE 117L - 02\xa0\xa0 Systematic Botany of Flowering Plants Laboratory    ', 'Undergraduate', 'Student Option', '41055', 'Laboratory', '2 units', '\xa0', ' Open', '1', '22', '21', '0', '0']
['\n        BIOE 122 - 01\xa0\xa0 Invertebrate Zoology    ', 'Undergraduate', 'Student Option', '41037', 'Lecture', '5 units', '\xa0', ' Closed', '0', '96', '97', '0', '0']
['\n        BIOE 122L - 01\xa0\xa0 Invertebrate Zoology Laboratory    ', 'Undergraduate', 'Student Option', '41038', 'Laboratory', '2 units', '\xa0', ' Closed', '0', '24', '24', '0', '0']
['\n        BIOE 122L - 02\xa0\xa0 Invertebrate Zoology Laboratory    ', 'Undergraduate', 'Student Option', '41039', 'Laboratory', '2 units', '\xa0', ' Closed', '0', '24', '25', '0', '0']
['\n        BIOE 122L - 03\xa0\xa0 Invertebrate Zoology Laboratory    ', 'Undergraduate', 'Student Option', '41040', 'Laboratory', '2 units', '\xa0', ' Closed', '0', '24', '24', '0', '0']
['\n        BIOE 122L - 04\xa0\xa0 Invertebrate Zoology Laboratory    ', 'Undergraduate', 'Student Option', '41041', 'Laboratory', '2 units', '\xa0', ' Closed', '0', '24', '24', '0', '0']
['\n        BIOE 125 - 01\xa0\xa0 Ecosystems of California    ', 'Undergraduate', 'Student Option', '43107', 'Lecture', '5 units', 'PE-E', ' Open', '2', '50', '48', '0', '0']
['\n        BIOE 131 - 01\xa0\xa0 Animal Physiology    ', 'Undergraduate', 'Student Option', '41033', 'Lecture', '5 units', '\xa0', ' Closed', '0', '120', '131', '0', '0']
['\n        BIOE 131L - 01\xa0\xa0 Animal Physiology Laboratory    ', 'Undergraduate', 'Student Option', '41034', 'Laboratory', '2 units', '\xa0', ' Open', '1', '28', '27', '0', '0']
